2015-05-17 22:29:32 INFO  ClassPathXmlApplicationContext:510 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4f8e5cde: startup date [Sun May 17 22:29:32 CEST 2015]; root of context hierarchy
2015-05-17 22:29:33 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [E:\Studia\II YEAR\Team Project\springAproachRepo\Emotionnaise\target\classes\META-INF\application-context.xml]
2015-05-17 22:29:33 INFO  Face:43 - Loading head image
2015-05-17 22:29:33 INFO  Face:57 - Starting Haar cascade for face
2015-05-17 22:29:33 INFO  Face:70 - We take just first detected face in the image
2015-05-17 22:29:33 INFO  Face:80 - Resizing face image to 127x127px
2015-05-17 22:29:33 INFO  Eyes:266 - Starting detecting eyes
2015-05-17 22:29:33 INFO  Eyes:62 - Starting Haar cascade for eyes
2015-05-17 22:29:33 INFO  Eyes:103 - Recalculating rectangle for an eye
2015-05-17 22:29:33 INFO  Eyes:123 - Rectangle for an eye recalculated: WIDTH=49 HEIGHT=49 (x,y)=8,19
2015-05-17 22:29:33 INFO  Eyes:103 - Recalculating rectangle for an eye
2015-05-17 22:29:33 INFO  Eyes:123 - Rectangle for an eye recalculated: WIDTH=54 HEIGHT=54 (x,y)=65,15
2015-05-17 22:29:33 INFO  Eyes:132 - Loading templates for eye corner matching
2015-05-17 22:29:33 INFO  Eyes:146 - Grey copies of eyes created!
2015-05-17 22:29:33 INFO  Eyes:221 - Point for right outer eye corner set to: 107.0,51.0
2015-05-17 22:29:33 INFO  FeatureStore:30 - Creating array for stroing face features points!
2015-05-17 22:29:33 INFO  Eyes:232 - Point for right inner eye corner set to: 78.0,53.0
2015-05-17 22:29:33 INFO  Eyes:243 - Point for left outer eye corner set to: 20.0,52.0
2015-05-17 22:29:33 INFO  Eyes:254 - Point for left inner eye corner set to: 49.0,54.0
2015-05-17 22:29:33 INFO  Eyebrows:88 - Starting detecting eyebrows
2015-05-17 22:29:33 INFO  Eyebrows:41 - Start preparing image for Haaris corner detection.
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-17 22:29:33 INFO  Analyzator:55 - Closing application context
2015-05-17 22:29:33 INFO  ClassPathXmlApplicationContext:862 - Closing org.springframework.context.support.ClassPathXmlApplicationContext@4f8e5cde: startup date [Sun May 17 22:29:32 CEST 2015]; root of context hierarchy
2015-05-18 21:30:12 INFO  ClassPathXmlApplicationContext:510 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4f8e5cde: startup date [Mon May 18 21:30:12 CEST 2015]; root of context hierarchy
2015-05-18 21:30:13 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [E:\Studia\II YEAR\Team Project\springAproachRepo\Emotionnaise\target\classes\META-INF\application-context.xml]
2015-05-18 21:30:13 INFO  ClassPathXmlApplicationContext:510 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4f8e5cde: startup date [Mon May 18 21:30:13 CEST 2015]; root of context hierarchy
2015-05-18 21:30:13 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [E:\Studia\II YEAR\Team Project\springAproachRepo\Emotionnaise\target\classes\META-INF\application-context.xml]
2015-05-18 21:30:13 INFO  Face:43 - Loading head image
2015-05-18 21:30:13 INFO  Face:57 - Starting Haar cascade for face
2015-05-18 21:30:14 INFO  Face:43 - Loading head image
2015-05-18 21:30:14 INFO  Face:57 - Starting Haar cascade for face
2015-05-18 21:30:14 INFO  Face:70 - We take just first detected face in the image
2015-05-18 21:30:14 INFO  Face:80 - Resizing face image to 127x127px
2015-05-18 21:30:14 INFO  Eyes:266 - Starting detecting eyes
2015-05-18 21:30:14 INFO  Eyes:62 - Starting Haar cascade for eyes
2015-05-18 21:30:14 INFO  Eyes:103 - Recalculating rectangle for an eye
2015-05-18 21:30:14 INFO  Eyes:123 - Rectangle for an eye recalculated: WIDTH=49 HEIGHT=49 (x,y)=8,19
2015-05-18 21:30:14 INFO  Eyes:103 - Recalculating rectangle for an eye
2015-05-18 21:30:14 INFO  Eyes:123 - Rectangle for an eye recalculated: WIDTH=54 HEIGHT=54 (x,y)=65,15
2015-05-18 21:30:14 INFO  Eyes:132 - Loading templates for eye corner matching
2015-05-18 21:30:14 INFO  Eyes:146 - Grey copies of eyes created!
2015-05-18 21:30:14 INFO  Eyes:221 - Point for right outer eye corner set to: 107.0,51.0
2015-05-18 21:30:14 INFO  FeatureStore:30 - Creating array for stroing face features points!
2015-05-18 21:30:14 INFO  Eyes:232 - Point for right inner eye corner set to: 78.0,53.0
2015-05-18 21:30:14 INFO  Eyes:243 - Point for left outer eye corner set to: 20.0,52.0
2015-05-18 21:30:14 INFO  Eyes:254 - Point for left inner eye corner set to: 49.0,54.0
2015-05-18 21:30:14 INFO  Eyebrows:88 - Starting detecting eyebrows
2015-05-18 21:30:14 INFO  Eyebrows:41 - Start preparing image for Haaris corner detection.
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:30:14 INFO  Analyzator:55 - Closing application context
2015-05-18 21:30:14 INFO  ClassPathXmlApplicationContext:862 - Closing org.springframework.context.support.ClassPathXmlApplicationContext@4f8e5cde: startup date [Mon May 18 21:30:12 CEST 2015]; root of context hierarchy
2015-05-18 21:30:14 INFO  Face:70 - We take just first detected face in the image
2015-05-18 21:30:14 INFO  Face:80 - Resizing face image to 127x127px
2015-05-18 21:30:14 INFO  Eyes:266 - Starting detecting eyes
2015-05-18 21:30:14 INFO  Eyes:62 - Starting Haar cascade for eyes
2015-05-18 21:30:14 INFO  Eyes:103 - Recalculating rectangle for an eye
2015-05-18 21:30:14 INFO  Eyes:123 - Rectangle for an eye recalculated: WIDTH=49 HEIGHT=49 (x,y)=8,19
2015-05-18 21:30:14 INFO  Eyes:103 - Recalculating rectangle for an eye
2015-05-18 21:30:14 INFO  Eyes:123 - Rectangle for an eye recalculated: WIDTH=54 HEIGHT=54 (x,y)=65,15
2015-05-18 21:30:14 INFO  Eyes:132 - Loading templates for eye corner matching
2015-05-18 21:30:14 INFO  Eyes:146 - Grey copies of eyes created!
2015-05-18 21:30:14 INFO  Eyes:221 - Point for right outer eye corner set to: 107.0,51.0
2015-05-18 21:30:14 INFO  FeatureStore:30 - Creating array for stroing face features points!
2015-05-18 21:30:14 INFO  Eyes:232 - Point for right inner eye corner set to: 78.0,53.0
2015-05-18 21:30:14 INFO  Eyes:243 - Point for left outer eye corner set to: 20.0,52.0
2015-05-18 21:30:14 INFO  Eyes:254 - Point for left inner eye corner set to: 49.0,54.0
2015-05-18 21:30:14 INFO  Eyebrows:88 - Starting detecting eyebrows
2015-05-18 21:30:14 INFO  Eyebrows:41 - Start preparing image for Haaris corner detection.
